ID,ID_ORIGINAL,Gender,Foreign_Citizenship,Age,Frequent_Traveler,Cellphone_Usage,Household_Size,Spy,Satisfaction_Level,Occupation,Political_Participation,Social_Person,Area_Residence,Military_Service,Household_Income
1000,467329,Female,No,40,Yes,Low,1,1,4,Government,No involvement,No,City,Never,7000
1001,461212,Female,No,30,No,Low,6,0,1,Nothing,No involvement,No,City,Never,19610
1002,466216,Male,No,29,No,Low,4,0,1,Private company,Strong involvement,Yes,Country-side,Never,8261
1003,462613,Female,Yes,35,No,Average,5,0,1,Private company,No involvement,Yes,Country-side,Never,7000
1004,465709,Male,Yes,68,Yes,Average,2,1,4,Private company,Strong involvement,No,City,Never,8261
1005,466716,Female,Yes,79,Yes,Low,1,1,8,Self-employed,No involvement,No,City,Never,8261
1006,466512,Female,No,22,No,Low,2,0,2,Private company,Some involvement,No,City,Never,8261
1007,466144,Female,Yes,48,No,Low,,1,,Private company,Unknown,,,,7000
1008,466799,Female,No,19,No,Low,3,0,1,Private company,Some involvement,No,City,Never,9522
1009,465043,Male,Yes,48,Yes,Average,5,1,1,Government,No involvement,No,City,Never,18349
1010,465319,Male,No,19,No,Low,5,0,1,Private company,Some involvement,No,City,Never,7000
1011,459662,Male,Yes,51,Yes,High,5,0,2,Private company,Strong involvement,Yes,City,Never,7000
1012,466561,Female,No,19,No,Low,3,0,1,Private company,Some involvement,No,City,Never,10783
1013,459590,Male,Yes,22,No,High,3,0,1,Public company,No involvement,No,City,Never,8261
1014,460794,Female,Yes,39,Yes,Low,1,0,4,Nothing,No involvement,No,City,Never,18349
1015,459413,Female,Yes,83,Yes,High,2,0,5,Private company,Unknown,No,City,Never,7000
1016,464921,Male,Yes,35,No,Average,5,1,1,Government,No involvement,Yes,Country-side,Never,7000
1017,464875,Male,Yes,42,No,Low,2,1,3,Private company,Strong involvement,Yes,Country-side,Never,8261
1018,459133,Male,No,23,No,Low,3,0,1,Private company,Strong involvement,Yes,Country-side,Never,8261
1019,462226,Male,Yes,26,No,Low,4,0,1,Private company,Unknown,Yes,Country-side,Never,15827
1020,462844,Female,Yes,30,No,Average,2,0,2,Private company,No involvement,No,City,Never,7000
1021,463163,Male,No,26,No,Low,2,0,2,Public company,No involvement,Yes,City,Never,9522
1022,462866,Male,Yes,56,Yes,Low,1,0,6,Government,No involvement,No,City,Never,7000
