,ID,ID_ORIGINAL,Age,Household_Size,Spy,Satisfaction_Level,Household_Income,Gender,Foreign_Citizenship,Frequent_Traveler,Cellphone_Usage,Occupation,Political_Participation,Social_Person,Area_Residence,Military_Service
0,1000.0,467329.0,40.0,1.0,1.0,4.0,7000.0,Female,No,Yes,Low,Government,No involvement,No,City,Never
1,1001.0,461212.0,30.0,6.0,0.0,1.0,19610.0,Female,No,No,Low,Nothing,No involvement,No,City,Never
2,1002.0,466216.0,29.0,4.0,0.0,1.0,8261.0,Male,No,No,Low,Private company,Strong involvement,Yes,Country-side,Never
3,1003.0,462613.0,35.0,5.0,0.0,1.0,7000.0,Female,Yes,No,Average,Private company,No involvement,Yes,Country-side,Never
4,1004.0,465709.0,68.0,2.0,1.0,4.0,8261.0,Male,Yes,Yes,Average,Private company,Strong involvement,No,City,Never
5,1005.0,466716.0,79.0,1.0,1.0,8.0,8261.0,Female,Yes,Yes,Low,Self-employed,No involvement,No,City,Never
6,1006.0,466512.0,22.0,2.0,0.0,2.0,8261.0,Female,No,No,Low,Private company,Some involvement,No,City,Never
7,1007.0,466144.0,48.0,4.0,1.0,2.0,7000.0,Female,Yes,No,Low,Private company,No involvement,No,City,Intervention in Iraq
8,1008.0,466799.0,19.0,3.0,0.0,1.0,9522.0,Female,No,No,Low,Private company,Some involvement,No,City,Never
9,1009.0,465043.0,48.0,5.0,1.0,1.0,18349.0,Male,Yes,Yes,Average,Government,No involvement,No,City,Never
10,1010.0,465319.0,19.0,5.0,0.0,1.0,7000.0,Male,No,No,Low,Private company,Some involvement,No,City,Never
11,1011.0,459662.0,51.0,5.0,0.0,2.0,7000.0,Male,Yes,Yes,High,Private company,Strong involvement,Yes,City,Never
12,1012.0,466561.0,19.0,3.0,0.0,1.0,10783.0,Female,No,No,Low,Private company,Some involvement,No,City,Never
13,1013.0,459590.0,22.0,3.0,0.0,1.0,8261.0,Male,Yes,No,High,Public company,No involvement,No,City,Never
14,1014.0,460794.0,39.0,1.0,0.0,4.0,18349.0,Female,Yes,Yes,Low,Nothing,No involvement,No,City,Never
15,1015.0,459413.0,83.0,2.0,0.0,5.0,7000.0,Female,Yes,Yes,High,Private company,No involvement,No,City,Never
16,1016.0,464921.0,35.0,5.0,1.0,1.0,7000.0,Male,Yes,No,Average,Government,No involvement,Yes,Country-side,Never
17,1017.0,464875.0,42.0,2.0,1.0,3.0,8261.0,Male,Yes,No,Low,Private company,Strong involvement,Yes,Country-side,Never
18,1018.0,459133.0,23.0,3.0,0.0,1.0,8261.0,Male,No,No,Low,Private company,Strong involvement,Yes,Country-side,Never
19,1019.0,462226.0,26.0,4.0,0.0,1.0,15827.0,Male,Yes,No,Low,Private company,No involvement,Yes,Country-side,Never
20,1020.0,462844.0,30.0,2.0,0.0,2.0,7000.0,Female,Yes,No,Average,Private company,No involvement,No,City,Never
21,1021.0,463163.0,26.0,2.0,0.0,2.0,9522.0,Male,No,No,Low,Public company,No involvement,Yes,City,Never
22,1022.0,462866.0,56.0,1.0,0.0,6.0,7000.0,Male,Yes,Yes,Low,Government,No involvement,No,City,Never
23,1023.0,460264.0,35.0,4.0,0.0,1.0,7000.0,Female,Yes,Yes,Low,Private company,Strong involvement,Yes,City,Intervention in Syria
24,1024.0,463434.0,25.0,2.0,0.0,2.0,7000.0,Female,Yes,No,Average,Private company,No involvement,No,City,Never
25,1025.0,460414.0,33.0,1.0,0.0,4.0,7000.0,Female,No,Yes,Low,Private company,Some involvement,No,City,Never
26,1026.0,465377.0,26.0,3.0,0.0,2.0,13305.0,Male,Yes,Yes,Average,Private company,No involvement,No,City,Never
27,1027.0,464201.0,30.0,9.0,1.0,1.0,7000.0,Female,No,No,Low,Private company,Some involvement,No,City,Never
28,1028.0,463548.0,18.0,4.0,0.0,1.0,10783.0,Female,No,No,Low,Private company,Some involvement,Yes,Country-side,Never
29,1029.0,466305.0,31.0,3.0,1.0,2.0,8261.0,Male,No,No,Low,Private company,Some involvement,Yes,City,Never
30,1030.0,463245.0,37.0,2.0,0.0,2.0,18349.0,Male,Yes,Yes,Average,Private company,Strong involvement,No,City,Never
31,1031.0,459117.0,66.0,2.0,1.0,4.0,8261.0,Male,Yes,Yes,High,Private company,No involvement,No,City,Never
32,1032.0,466168.0,45.0,3.0,1.0,2.0,8261.0,Female,Yes,Yes,High,Public company,No involvement,Yes,City,Never
33,1033.0,466158.0,47.0,4.0,1.0,2.0,7000.0,Female,Yes,Yes,Low,Private company,No involvement,No,City,Never
34,1034.0,462683.0,38.0,5.0,1.0,1.0,8261.0,Female,Yes,No,Low,Private company,No involvement,Yes,City,Intervention in Syria
35,1035.0,464425.0,40.0,1.0,1.0,4.0,17088.0,Male,No,Yes,Low,Private company,No involvement,No,City,Never
36,1036.0,459108.0,23.0,5.0,0.0,1.0,7000.0,Male,No,No,Low,Private company,Some involvement,No,City,Never
37,1037.0,459336.0,26.0,2.0,0.0,2.0,14566.0,Male,Yes,Yes,Average,Private company,No involvement,No,City,Never
38,1038.0,465151.0,59.0,1.0,1.0,6.0,7000.0,Male,Yes,Yes,Low,Private company,No involvement,No,City,Never
39,1039.0,462732.0,41.0,1.0,1.0,5.0,7000.0,Female,Yes,Yes,Low,Private company,No involvement,No,City,Never
40,1040.0,467692.0,43.0,1.0,1.0,5.0,12044.0,Female,Yes,No,Low,Private company,No involvement,No,City,Never
41,1041.0,466890.0,47.0,6.0,1.0,1.0,7000.0,Male,Yes,Yes,Average,Private company,No involvement,Yes,City,Intervention in Iraq
42,1042.0,460197.0,38.0,3.0,0.0,2.0,17088.0,Male,No,Yes,Low,Private company,No involvement,Yes,City,Never
43,1043.0,461764.0,41.0,1.0,0.0,5.0,7000.0,Female,No,Yes,Low,Private company,No involvement,No,City,Never
44,1044.0,464971.0,36.0,5.0,0.0,1.0,8261.0,Female,Yes,No,Low,Private company,No involvement,Yes,Country-side,Never
45,1045.0,465286.0,36.0,1.0,1.0,4.0,17088.0,Male,No,Yes,Low,Private company,No involvement,No,City,Never
46,1046.0,459701.0,47.0,3.0,1.0,2.0,10783.0,Male,No,No,Low,Private company,No involvement,Yes,City,Intervention in Libya
47,1047.0,464330.0,38.0,2.0,0.0,2.0,7000.0,Male,No,Yes,Low,Private company,No involvement,No,City,Never
48,1048.0,466323.0,28.0,1.0,1.0,3.0,12044.0,Male,No,No,Low,Government,No involvement,Yes,City,Never
49,1049.0,459788.0,36.0,1.0,0.0,4.0,7000.0,Female,No,Yes,Low,Private company,Strong involvement,Yes,City,Never
50,1050.0,466668.0,49.0,1.0,1.0,5.0,7000.0,Female,Yes,Yes,Low,Private company,No involvement,Yes,City,Never
51,1051.0,464058.0,86.0,1.0,0.0,9.0,7000.0,Male,Yes,Yes,Low,Private company,Some involvement,No,City,Never
52,1052.0,459699.0,61.0,3.0,1.0,3.0,18349.0,Female,No,Yes,Average,Private company,No involvement,No,City,Never
53,1053.0,462980.0,28.0,5.0,1.0,1.0,8261.0,Male,No,Yes,Low,Private company,Strong involvement,No,City,Never
54,1054.0,463565.0,33.0,4.0,0.0,1.0,8261.0,Female,No,Yes,Low,Private company,Strong involvement,No,City,Never
55,1055.0,467361.0,26.0,4.0,0.0,1.0,7000.0,Female,Yes,No,Low,Nothing,No involvement,No,City,Never
56,1056.0,459970.0,40.0,2.0,0.0,2.0,8261.0,Male,No,Yes,Low,Private company,No involvement,No,City,Never
57,1057.0,465100.0,56.0,2.0,1.0,3.0,8261.0,Male,Yes,Yes,High,Private company,No involvement,No,City,Never
58,1058.0,462962.0,37.0,1.0,0.0,4.0,12044.0,Female,Yes,Yes,Low,Private company,No involvement,Yes,City,Never
59,1059.0,463724.0,29.0,5.0,1.0,1.0,7000.0,Male,No,No,Low,Private company,Some involvement,Yes,Country-side,Never
60,1060.0,461658.0,62.0,2.0,1.0,4.0,7000.0,Female,Yes,Yes,Average,Private company,No involvement,Yes,City,Intervention in Libya
61,1061.0,459033.0,56.0,1.0,1.0,6.0,7000.0,Female,Yes,Yes,Low,Private company,No involvement,No,City,Never
62,1062.0,462607.0,37.0,3.0,0.0,2.0,9522.0,Female,No,No,Average,Private company,No involvement,Yes,Country-side,Never
63,1063.0,462294.0,30.0,4.0,0.0,1.0,8261.0,Male,Yes,No,Average,Private company,Some involvement,No,City,Never
64,1064.0,467431.0,40.0,3.0,1.0,2.0,18349.0,Male,Yes,Yes,Average,Private company,No involvement,No,City,Never
65,1065.0,466289.0,19.0,5.0,0.0,1.0,9522.0,Male,No,No,Low,Private company,Some involvement,Yes,City,Never
66,1066.0,467445.0,31.0,2.0,0.0,2.0,17088.0,Male,Yes,No,Low,Government,No involvement,Yes,City,Never
67,1067.0,464293.0,30.0,4.0,1.0,1.0,8261.0,Male,No,Yes,Low,Private company,Some involvement,No,City,Never
68,1068.0,466577.0,30.0,1.0,0.0,3.0,8261.0,Male,No,Yes,Low,Private company,Some involvement,No,City,Never
69,1069.0,462756.0,23.0,4.0,1.0,1.0,8261.0,Female,No,No,Low,Private company,No involvement,No,City,Never
70,1070.0,464559.0,35.0,1.0,0.0,4.0,18349.0,Female,No,Yes,Low,Private company,Some involvement,No,City,Never
71,1071.0,464212.0,56.0,2.0,1.0,3.0,7000.0,Female,Yes,Yes,Average,Student,No involvement,No,City,Never
72,1072.0,464411.0,30.0,6.0,0.0,1.0,10783.0,Male,No,Yes,Low,Private company,Some involvement,Yes,City,Intervention in Iraq
73,1073.0,464240.0,52.0,1.0,0.0,6.0,7000.0,Male,Yes,No,Low,Private company,No involvement,Yes,City,Never
74,1074.0,463553.0,27.0,2.0,1.0,2.0,18349.0,Male,No,Yes,Low,Private company,No involvement,No,City,Never
75,1075.0,459967.0,27.0,3.0,1.0,1.0,18349.0,Male,No,Yes,Low,Private company,Strong involvement,No,City,Never
76,1076.0,463746.0,38.0,1.0,0.0,4.0,7000.0,Male,No,Yes,Low,Private company,No involvement,No,City,Never
77,1077.0,465702.0,32.0,1.0,0.0,4.0,8261.0,Male,No,Yes,Low,Private company,Strong involvement,Yes,Country-side,Never
78,1078.0,459796.0,66.0,3.0,1.0,3.0,7000.0,Male,Yes,Yes,Average,Private company,No involvement,No,City,Never
79,1079.0,462935.0,79.0,1.0,0.0,8.0,8261.0,Male,Yes,No,Low,Private company,Strong involvement,No,City,Intervention in Iraq
80,1080.0,462323.0,70.0,2.0,1.0,4.0,7000.0,Female,Yes,Yes,Average,Government,No involvement,No,City,Never
81,1081.0,465513.0,43.0,2.0,1.0,3.0,8261.0,Male,No,Yes,Low,Private company,Strong involvement,No,City,Never
82,1082.0,461881.0,40.0,1.0,0.0,4.0,8261.0,Male,No,Yes,Low,Private company,No involvement,No,City,Never
83,1083.0,466207.0,37.0,4.0,1.0,1.0,18349.0,Female,Yes,Yes,Average,Government,No involvement,Yes,City,Never
84,1084.0,461124.0,19.0,8.0,0.0,1.0,8261.0,Male,No,No,Low,Private company,Some involvement,Yes,Country-side,Never
85,1085.0,466393.0,42.0,6.0,1.0,1.0,8261.0,Female,Yes,No,Low,Private company,Strong involvement,Yes,City,Never
86,1086.0,462199.0,33.0,3.0,0.0,2.0,17088.0,Female,No,No,Low,Private company,Some involvement,No,City,Intervention in Iraq
87,1087.0,459537.0,47.0,3.0,0.0,2.0,18349.0,Female,No,Yes,Low,Nothing,No involvement,Yes,Country-side,Never
88,1088.0,463484.0,35.0,2.0,0.0,2.0,8261.0,Female,Yes,No,High,Private company,No involvement,No,City,Intervention in Iraq
89,1089.0,459723.0,49.0,2.0,1.0,3.0,14566.0,Male,Yes,Yes,Average,Private company,No involvement,No,City,Never
90,1090.0,465456.0,59.0,5.0,1.0,2.0,10783.0,Female,Yes,Yes,High,Private company,No involvement,Yes,City,Intervention in Syria
91,1091.0,460634.0,39.0,6.0,0.0,1.0,7000.0,Female,No,No,Low,Private company,Strong involvement,Yes,City,Never
92,1092.0,461319.0,56.0,2.0,1.0,3.0,7000.0,Male,Yes,No,Average,Private company,No involvement,No,City,Never
93,1093.0,464106.0,55.0,2.0,0.0,3.0,8261.0,Male,Yes,Yes,Low,Private company,Strong involvement,No,City,Never
94,1094.0,460191.0,33.0,4.0,0.0,1.0,17088.0,Female,No,No,Low,Private company,Some involvement,No,City,Never
95,1095.0,466578.0,45.0,1.0,1.0,5.0,9522.0,Male,No,No,Low,Private company,No involvement,No,City,Never
96,1096.0,463237.0,20.0,5.0,0.0,1.0,8261.0,Male,No,No,Low,Private company,Some involvement,No,City,Never
97,1097.0,465566.0,50.0,3.0,1.0,2.0,8261.0,Male,No,Yes,Low,Private company,No involvement,Yes,City,Never
98,1098.0,458997.0,61.0,2.0,1.0,4.0,8261.0,Male,Yes,Yes,Average,Private company,No involvement,No,City,Never
99,1099.0,465851.0,50.0,2.0,0.0,3.0,18349.0,Female,Yes,No,High,Private company,No involvement,Yes,Country-side,Never
100,1100.0,465640.0,50.0,2.0,1.0,3.0,15827.0,Male,Yes,Yes,Average,Private company,No involvement,No,City,Never
101,1101.0,466814.0,18.0,3.0,0.0,1.0,7000.0,Male,No,No,Low,Private company,Some involvement,No,City,Never
102,1102.0,466021.0,87.0,1.0,0.0,9.0,8261.0,Male,No,No,Low,Self-employed,No involvement,No,City,Never
103,1103.0,465990.0,48.0,2.0,0.0,3.0,9522.0,Male,Yes,No,High,Public company,No involvement,Yes,City,Never
104,1104.0,461638.0,70.0,2.0,0.0,4.0,7000.0,Male,Yes,Yes,High,Private company,Strong involvement,No,City,Never
105,1105.0,467399.0,29.0,3.0,0.0,1.0,8261.0,Male,Yes,Yes,Low,Government,No involvement,No,City,Never
106,1106.0,466106.0,63.0,5.0,1.0,2.0,7000.0,Female,Yes,No,Average,Private company,No involvement,No,City,Never
107,1107.0,459428.0,43.0,2.0,0.0,3.0,7000.0,Female,No,No,Low,Student,No involvement,Yes,Country-side,Never
108,1108.0,459487.0,67.0,3.0,0.0,3.0,7000.0,Male,Yes,No,Low,Self-employed,No involvement,No,City,Never
