,ID,ID_ORIGINAL,Age,Household_Size,Spy,Satisfaction_Level,Household_Income,Gender,Foreign_Citizenship,Frequent_Traveler,Cellphone_Usage,Occupation,Political_Participation,Social_Person,Area_Residence,Military_Service
0,1000,467329,40.0,1.0,1.0,4.0,7000.0,Female,No,Yes,Low,Government,No involvement,No,City,Never
1,1001,461212,30.0,6.0,0.0,1.0,19610.0,Female,No,No,Low,Nothing,No involvement,No,City,Never
2,1002,466216,29.0,4.0,0.0,1.0,8261.0,Male,No,No,Low,Private company,Strong involvement,Yes,Country-side,Never
3,1003,462613,35.0,5.0,0.0,1.0,7000.0,Female,Yes,No,Average,Private company,No involvement,Yes,Country-side,Never
4,1004,465709,68.0,2.0,1.0,4.0,8261.0,Male,Yes,Yes,Average,Private company,Strong involvement,No,City,Never
5,1005,466716,79.0,1.0,1.0,8.0,8261.0,Female,Yes,Yes,Low,Self-employed,No involvement,No,City,Never
6,1006,466512,22.0,2.0,0.0,2.0,8261.0,Female,No,No,Low,Private company,Some involvement,No,City,Never
7,1007,466144,48.0,4.0,1.0,2.0,7000.0,Female,Yes,No,Low,Private company,nan,nan,nan,Never
8,1008,466799,19.0,3.0,0.0,1.0,9522.0,Female,No,No,Low,Private company,Some involvement,No,City,Never
9,1009,465043,48.0,5.0,1.0,1.0,18349.0,Male,Yes,Yes,Average,Government,No involvement,No,City,Never
10,1010,465319,19.0,5.0,0.0,1.0,7000.0,Male,No,No,Low,Private company,Some involvement,No,City,Never
11,1011,459662,51.0,5.0,0.0,2.0,7000.0,Male,Yes,Yes,High,Private company,Strong involvement,Yes,City,Never
12,1012,466561,19.0,3.0,0.0,1.0,10783.0,Female,No,No,Low,Private company,Some involvement,No,City,Never
13,1013,459590,22.0,3.0,0.0,1.0,8261.0,Male,Yes,No,High,Public company,No involvement,No,City,Never
14,1014,460794,39.0,1.0,0.0,4.0,18349.0,Female,Yes,Yes,Low,Nothing,No involvement,No,City,Never
15,1015,459413,83.0,2.0,0.0,5.0,7000.0,Female,Yes,Yes,High,Private company,No involvement,No,City,Never
